File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL4SMGP_008_Geophysical_Data_land_evapotranspiration_flux_doy2021152013000_aid0001,Geophysical_Data_land_evapotranspiration_flux,aid0001,2021-06-01 01:30:00 UTC,10009.0,-4.83e-05,7.25e-05,"(-4.83e-05,7.25e-05)",2.1e-05,1.94e-05,0.0,3.68e-05,7.25e-05,1.66e-05,-3.69e-05,7.2e-06
SPL4SMGP_008_Geophysical_Data_land_evapotranspiration_flux_doy2021152043000_aid0001,Geophysical_Data_land_evapotranspiration_flux,aid0001,2021-06-01 04:30:00 UTC,10009.0,-4.25e-05,3.48e-05,"(-4.25e-05,3.48e-05)",4.1e-06,7.5e-06,0.0,7.3e-06,1.75e-05,3.4e-06,-9.6e-06,6e-07
SPL4SMGP_008_Geophysical_Data_land_evapotranspiration_flux_doy2021152073000_aid0001,Geophysical_Data_land_evapotranspiration_flux,aid0001,2021-06-01 07:30:00 UTC,10009.0,-3.81e-05,2.89e-05,"(-3.81e-05,2.89e-05)",9e-07,5.6e-06,0.0,3.2e-06,9.8e-06,3e-07,-7.7e-06,-1.2e-06
SPL4SMGP_008_Geophysical_Data_land_evapotranspiration_flux_doy2021152103000_aid0001,Geophysical_Data_land_evapotranspiration_flux,aid0001,2021-06-01 10:30:00 UTC,10009.0,-4.13e-05,2.22e-05,"(-4.13e-05,2.22e-05)",-0.0,4.9e-06,0.0,1.9e-06,7.1e-06,-4e-07,-7e-06,-1.7e-06
SPL4SMGP_008_Geophysical_Data_land_evapotranspiration_flux_doy2021152133000_aid0001,Geophysical_Data_land_evapotranspiration_flux,aid0001,2021-06-01 13:30:00 UTC,10009.0,-4.08e-05,3.51e-05,"(-4.08e-05,3.51e-05)",4.6e-06,7.1e-06,0.0,8.4e-06,1.95e-05,3.8e-06,-1.02e-05,1e-06
SPL4SMGP_008_Geophysical_Data_land_evapotranspiration_flux_doy2021152163000_aid0001,Geophysical_Data_land_evapotranspiration_flux,aid0001,2021-06-01 16:30:00 UTC,10009.0,-3.95e-05,9.54e-05,"(-3.95e-05,9.54e-05)",3.07e-05,2.29e-05,0.0,4.76e-05,9.54e-05,3.13e-05,-3.37e-05,1.36e-05
SPL4SMGP_008_Geophysical_Data_land_evapotranspiration_flux_doy2021152193000_aid0001,Geophysical_Data_land_evapotranspiration_flux,aid0001,2021-06-01 19:30:00 UTC,10009.0,-4.47e-05,0.0001966,"(-4.47e-05,0.0001966)",5.87e-05,4.01e-05,0.0,8.9e-05,0.0001719,6.13e-05,-4.47e-05,2.57e-05
SPL4SMGP_008_Geophysical_Data_land_evapotranspiration_flux_doy2021152223000_aid0001,Geophysical_Data_land_evapotranspiration_flux,aid0001,2021-06-01 22:30:00 UTC,10009.0,-4.63e-05,0.0001873,"(-4.63e-05,0.0001873)",6.46e-05,4.27e-05,0.0,9.62e-05,0.0001873,6.81e-05,-4.63e-05,3.03e-05
SPL4SMGP_008_Geophysical_Data_sm_rootzone_wetness_doy2021152013000_aid0001,Geophysical_Data_sm_rootzone_wetness,aid0001,2021-06-01 01:30:00 UTC,10009.0,0.2025924,1.0,"(0.2025924,1.0)",0.6693246,0.1535359,0.0235733,0.7813278,1.0,0.6751266,0.2687545,0.5742965
SPL4SMGP_008_Geophysical_Data_sm_rootzone_wetness_doy2021152043000_aid0001,Geophysical_Data_sm_rootzone_wetness,aid0001,2021-06-01 04:30:00 UTC,10009.0,0.2025408,1.0,"(0.2025408,1.0)",0.6695489,0.1536468,0.0236073,0.7818255,1.0,0.6758685,0.2682757,0.5747942
SPL4SMGP_008_Geophysical_Data_sm_rootzone_wetness_doy2021152073000_aid0001,Geophysical_Data_sm_rootzone_wetness,aid0001,2021-06-01 07:30:00 UTC,10009.0,0.2026715,0.9999127,"(0.2026715,0.9999127)",0.6697009,0.1537008,0.0236239,0.7818952,0.9999127,0.6761823,0.267857,0.5748639
SPL4SMGP_008_Geophysical_Data_sm_rootzone_wetness_doy2021152103000_aid0001,Geophysical_Data_sm_rootzone_wetness,aid0001,2021-06-01 10:30:00 UTC,10009.0,0.2028097,0.9999899,"(0.2028097,0.9999899)",0.6698805,0.1536944,0.023622,0.7822164,0.9999899,0.6762594,0.2648825,0.5751852
SPL4SMGP_008_Geophysical_Data_sm_rootzone_wetness_doy2021152133000_aid0001,Geophysical_Data_sm_rootzone_wetness,aid0001,2021-06-01 13:30:00 UTC,10009.0,0.2029199,1.0,"(0.2029199,1.0)",0.6701035,0.153718,0.0236292,0.7825097,1.0,0.6765527,0.2660302,0.5752344
SPL4SMGP_008_Geophysical_Data_sm_rootzone_wetness_doy2021152163000_aid0001,Geophysical_Data_sm_rootzone_wetness,aid0001,2021-06-01 16:30:00 UTC,10009.0,0.2024435,0.9998678,"(0.2024435,0.9998678)",0.6701076,0.1537654,0.0236438,0.7828268,0.9998678,0.6766256,0.2662252,0.574819
SPL4SMGP_008_Geophysical_Data_sm_rootzone_wetness_doy2021152193000_aid0001,Geophysical_Data_sm_rootzone_wetness,aid0001,2021-06-01 19:30:00 UTC,10009.0,0.2018408,0.9999365,"(0.2018408,0.9999365)",0.6697559,0.1540889,0.0237434,0.7831396,0.9999365,0.6766943,0.2653173,0.5741552
SPL4SMGP_008_Geophysical_Data_sm_rootzone_wetness_doy2021152223000_aid0001,Geophysical_Data_sm_rootzone_wetness,aid0001,2021-06-01 22:30:00 UTC,10009.0,0.2009786,1.0,"(0.2009786,1.0)",0.6691873,0.1545106,0.0238735,0.783254,1.0,0.6763204,0.2570089,0.5725607
SPL4SMGP_008_Geophysical_Data_sm_surface_wetness_doy2021152013000_aid0001,Geophysical_Data_sm_surface_wetness,aid0001,2021-06-01 01:30:00 UTC,10009.0,0.1790184,0.9772362,"(0.1790184,0.9772362)",0.6396521,0.1532838,0.0234959,0.7670311,0.9772362,0.6615623,0.1790184,0.528994
SPL4SMGP_008_Geophysical_Data_sm_surface_wetness_doy2021152043000_aid0001,Geophysical_Data_sm_surface_wetness,aid0001,2021-06-01 04:30:00 UTC,10009.0,0.177976,0.9788794,"(0.177976,0.9788794)",0.6399804,0.152333,0.0232053,0.7637915,0.9788794,0.6649145,0.1854834,0.5308813
SPL4SMGP_008_Geophysical_Data_sm_surface_wetness_doy2021152073000_aid0001,Geophysical_Data_sm_surface_wetness,aid0001,2021-06-01 07:30:00 UTC,10009.0,0.1780562,0.9823164,"(0.1780562,0.9823164)",0.6406527,0.1514948,0.0229507,0.7625898,0.9823164,0.6666425,0.1938032,0.5328535
SPL4SMGP_008_Geophysical_Data_sm_surface_wetness_doy2021152103000_aid0001,Geophysical_Data_sm_surface_wetness,aid0001,2021-06-01 10:30:00 UTC,10009.0,0.179797,0.978381,"(0.179797,0.978381)",0.6428212,0.1508326,0.0227505,0.7645138,0.978381,0.6700314,0.1960323,0.535754
SPL4SMGP_008_Geophysical_Data_sm_surface_wetness_doy2021152133000_aid0001,Geophysical_Data_sm_surface_wetness,aid0001,2021-06-01 13:30:00 UTC,10009.0,0.1823319,0.9790239,"(0.1823319,0.9790239)",0.6438792,0.150501,0.0226506,0.7649125,0.9790239,0.6706743,0.1982621,0.5376176
SPL4SMGP_008_Geophysical_Data_sm_surface_wetness_doy2021152163000_aid0001,Geophysical_Data_sm_surface_wetness,aid0001,2021-06-01 16:30:00 UTC,10009.0,0.1807509,0.9786635,"(0.1807509,0.9786635)",0.6445602,0.1500077,0.0225023,0.7669936,0.9786635,0.6693373,0.2035781,0.5382338
SPL4SMGP_008_Geophysical_Data_sm_surface_wetness_doy2021152193000_aid0001,Geophysical_Data_sm_surface_wetness,aid0001,2021-06-01 19:30:00 UTC,10009.0,0.1797797,0.9797675,"(0.1797797,0.9797675)",0.6408055,0.1535989,0.0235926,0.7683417,0.9797675,0.6618964,0.1797797,0.5300605
SPL4SMGP_008_Geophysical_Data_sm_surface_wetness_doy2021152223000_aid0001,Geophysical_Data_sm_surface_wetness,aid0001,2021-06-01 22:30:00 UTC,10009.0,0.1795438,0.9808744,"(0.1795438,0.9808744)",0.6337093,0.1569846,0.0246442,0.7660306,0.9808744,0.6500638,0.1795438,0.5199369
SPL4SMGP_008_Geophysical_Data_surface_temp_doy2021152013000_aid0001,Geophysical_Data_surface_temp,aid0001,2021-06-01 01:30:00 UTC,10009.0,273.1584473,297.5373535,"(273.1584473,297.5373535)",284.8851929,6.14429,37.7522992,290.1564941,297.5373535,285.4509277,273.1584473,280.9318848
SPL4SMGP_008_Geophysical_Data_surface_temp_doy2021152043000_aid0001,Geophysical_Data_surface_temp,aid0001,2021-06-01 04:30:00 UTC,10009.0,272.3717041,291.362915,"(272.3717041,291.362915)",282.3962097,4.7909703,22.9533967,286.2779541,291.362915,283.2935791,272.3717041,279.2506104
SPL4SMGP_008_Geophysical_Data_surface_temp_doy2021152073000_aid0001,Geophysical_Data_surface_temp,aid0001,2021-06-01 07:30:00 UTC,10009.0,269.8441772,289.0707397,"(269.8441772,289.0707397)",280.8980408,4.2585292,18.1350708,284.4223022,289.0707397,281.7074585,269.8441772,277.7426147
SPL4SMGP_008_Geophysical_Data_surface_temp_doy2021152103000_aid0001,Geophysical_Data_surface_temp,aid0001,2021-06-01 10:30:00 UTC,10009.0,269.2255554,287.8857117,"(269.2255554,287.8857117)",279.9798584,3.9507725,15.6086035,283.2450867,287.8857117,280.7255554,269.2255554,276.8349304
SPL4SMGP_008_Geophysical_Data_surface_temp_doy2021152133000_aid0001,Geophysical_Data_surface_temp,aid0001,2021-06-01 13:30:00 UTC,10009.0,269.99646,288.324585,"(269.99646,288.324585)",280.8590088,4.1897149,17.553711,284.30896,288.324585,281.6097412,269.99646,277.8167725
SPL4SMGP_008_Geophysical_Data_surface_temp_doy2021152163000_aid0001,Geophysical_Data_surface_temp,aid0001,2021-06-01 16:30:00 UTC,10009.0,272.9898682,298.5767822,"(272.9898682,298.5767822)",284.9764404,6.0169811,36.2040619,290.2320557,298.5767822,285.6734619,272.9898682,281.5406494
SPL4SMGP_008_Geophysical_Data_surface_temp_doy2021152193000_aid0001,Geophysical_Data_surface_temp,aid0001,2021-06-01 19:30:00 UTC,10009.0,273.1445007,305.0116882,"(273.1445007,305.0116882)",288.071991,7.2844019,53.0625109,294.273407,305.0116882,289.471405,273.1445007,284.1249695
SPL4SMGP_008_Geophysical_Data_surface_temp_doy2021152223000_aid0001,Geophysical_Data_surface_temp,aid0001,2021-06-01 22:30:00 UTC,10009.0,273.1614075,304.3762512,"(273.1614075,304.3762512)",289.1395874,7.5199347,56.5494172,295.3977356,304.3762512,290.4646301,273.1614075,285.54422
